LUN,,MAR,MAR 3/05,MER,MER 4/05,JEU,JEU 5/05,VEN,VEN 6/05,SAM,SAM 7/05,DIM ,DIM 8/05
,,,,,,,,,,,,,
6H 00,La Matinale LCI CP avec Jean Baptiste Boursier et Maya Debre ,6H 00,La Matinale LCI CP avec Jean Baptiste Boursier et Maya Debre ,6H 00,La Matinale LCI CP avec Jean Baptiste Boursier et Maya Debre ,6H 00,La Matinale LCI CP avec Jean Baptiste Boursier et Maya Debre ,6H 00,La Matinale LCI CP avec Jean Baptiste Boursier et Maya Debre ,6H 00,La Matinale LCI CP avec Thomas Delmas & Claire Beaumont,6H 00,La Matinale LCI CP avec Thomas Delmas & Claire Beaumont
9H 00,L’heure des réseaux avec Emilie Broussouloux,9H 00,L’heure des réseaux avec Emilie Broussouloux,9H 00,L’heure des réseaux avec Emilie Broussouloux,9H 00,L’heure des réseaux avec Emilie Broussouloux,9H 00,L’heure des réseaux avec Emilie Broussouloux,9H 00,Le Temps de l’info avec Nicolas Delcourt,9H 00,Le Temps de l’info avec Nicolas Delcourt
10H 00,Le Temps de l’info avec Amélie Carrouër et Jean Paul Lacoste,10H 00,Le Temps de l’info avec Amélie Carrouër et Jean Paul Lacoste,10H 00,Le Temps de l’info avec Amélie Carrouër et Jean Paul Lacoste,10H 00,Le Temps de l’info avec Amélie Carrouër et Jean Paul Lacoste,10H 00,Le Temps de l’info avec Amélie Carrouër et Jean Paul Lacoste,,,,
12 H 00,Le Dej/Info avec David Doukhan,12 H 00,Le Dej/Info avec David Doukhan,12 H 00,Le Dej/Info avec David Doukhan,12 H 00,Le Dej/Info avec David Doukhan,12 H 00,Le Dej/Info avec David Doukhan,12 H 00,Le Dej/Info avec Camille Renaud,11 H 00,L’Interview de la semaine avec Nathalie Saint-Cricq 
14 H 00,L’aprem info avec Marie-Aline Méliyi,14 H 00,L’aprem info avec Marie-Aline Méliyi,14 H 00,L’aprem info avec Marie-Aline Méliyi,14 H 00,L’aprem info avec Marie-Aline Méliyi,14 H 00,L’aprem info avec Marie-Aline Méliyi,14 H 00,L’aprem info avec Benjamin Caron,12 H 00,Reportage Documentaire
16 H 00,Le grand dossier avec Bénédicte Le Chatelier,16 H 00,Le grand dossier avec Bénédicte Le Chatelier,16 H 00,Le grand dossier avec Bénédicte Le Chatelier,16 H 00,Le grand dossier avec Bénédicte Le Chatelier,16 H 00,Le grand dossier avec Bénédicte Le Chatelier,16 H 00,Le grand dossier avec Mathieu Perrin,16 H 00,Le grand dossier avec Mathieu Perrin
17 H 00,Le 17/20 : L’info en grand avec Marie-Sophie Lacarrau,17 H 00,Le 17/20 : L’info en grand avec Marie-Sophie Lacarrau,17 H 00,Le 17/20 : L’info en grand avec Marie-Sophie Lacarrau,17 H 00,Le 17/20 : L’info en grand avec Marie-Sophie Lacarrau,17 H 00,Le 17/20 : L’info en grand avec Marie-Sophie Lacarrau,17 H 00,Le 17/20 :  Week-end avec Alexandre Lambert,17 H 00,Le 17/20 :  Week-end avec Alexandre Lambert
19 H 30,Le 17/20 : L’interview Politique avec Marie-Sophie Lacarrau et Marc Fauvelle,19 H 30,Le 17/20 : L’interview Politique avec Marie-Sophie Lacarrau et Marc Fauvelle,19 H 30,Le 17/20 : L’interview Politique avec Marie-Sophie Lacarrau et Marc Fauvelle,19 H 30,Le 17/20 : L’interview Politique avec Marie-Sophie Lacarrau et Marc Fauvelle,19 H 30,Le 17/20 : L’interview Politique avec Marie-Sophie Lacarrau et Marc Fauvelle,,,,
20 H 00,Le 20H Media avec Christophe Moulin,20 H 00,Le 20H Media avec Christophe Moulin,20 H 00,Le 20H Media avec Christophe Moulin,20 H 00,Le 20H Media avec Christophe Moulin,20 H 00,Le 20H Media avec Christophe Moulin,20 H 00,Le 20H Politique avec Charlotte Bertrand,20 H 00,Le 20H Politique avec Charlotte Bertrand
21 H 00,Reportage grand format avec Benjamin Duhamel et Romane Maignan,21 H 00,Reportage grand format avec Benjamin Duhamel et Romane Maignan,21 H 00,Reportage grand format avec Benjamin Duhamel et Romane Maignan,21 H 00,Reportage grand format avec Benjamin Duhamel et Romane Maignan,21 H 00,Reportage grand format avec Benjamin Duhamel et Romane Maignan,21 H 00,Face au Français avec Juliette Leroy,21 H 00,Face au Français avec Juliette Leroy
23 H 00,Le 23h Info avec Eric Brunet et Elizabeth Martichoux,23 H 00,Le 23h Info avec Eric Brunet et Elizabeth Martichoux,23 H 00,Le 23h Info avec Eric Brunet et Elizabeth Martichoux,23 H 00,Le 23h Info avec Eric Brunet et Elizabeth Martichoux,23 H 00,Le 23h Info avec Eric Brunet et Elizabeth Martichoux,23 H 00,Le 23h Info Week-end avec Manon Girard,23 H 00,Le 23h Info Week-end avec Manon Girard
0 H 00,La Nuit LCI CP,0 H 00,La Nuit LCI CP,0 H 00,La Nuit LCI CP,0 H 00,La Nuit LCI CP,0 H 00,La Nuit LCI CP,0 H 00,La Nuit LCI CP,0 H 00,La Nuit LCI CP
